# ID	x	y	Flux	Bkg	m
7.1300e+02	1.4080e+03	2.5930e+03	1.3361e+04	3.4290e+03	1.4985e+01
7.1400e+02	2.6400e+02	2.8960e+03	4.2860e+03	3.4210e+03	1.6220e+01
7.1500e+02	9.5300e+02	1.0080e+03	6.5860e+03	3.4210e+03	1.5753e+01
7.1600e+02	1.3020e+03	2.5660e+03	3.4810e+03	3.4260e+03	1.6446e+01
7.1700e+02	2.4000e+03	2.7250e+03	3.1100e+03	3.4200e+03	1.6568e+01
7.1800e+02	1.8220e+03	3.2620e+03	6.8150e+03	3.4370e+03	1.5716e+01
7.1900e+02	2.0400e+03	6.0700e+02	4.4360e+03	3.4100e+03	1.6183e+01
7.2000e+02	5.8700e+02	1.8150e+03	5.5120e+03	3.4190e+03	1.5947e+01
7.2100e+02	2.0400e+03	1.9320e+03	8.7540e+03	3.4140e+03	1.5444e+01
7.2200e+02	4.1700e+02	2.2270e+03	4.6320e+03	3.4210e+03	1.6136e+01
7.2300e+02	5.6700e+02	2.4940e+03	3.8110e+03	3.4190e+03	1.6347e+01
7.2400e+02	1.7290e+03	4.3340e+03	2.5795e+03	3.4185e+03	1.6771e+01
7.2500e+02	1.7900e+03	2.9390e+03	5.8270e+03	3.4340e+03	1.5886e+01
7.2600e+02	2.2330e+03	3.1300e+03	3.7750e+03	3.4220e+03	1.6358e+01
7.2700e+02	1.8960e+03	3.8770e+03	6.0080e+03	3.4220e+03	1.5853e+01
7.2800e+02	9.8300e+02	2.9600e+02	8.4220e+03	3.4270e+03	1.5486e+01
7.2900e+02	2.4240e+03	9.6400e+02	5.4260e+03	3.4170e+03	1.5964e+01
7.3000e+02	7.6400e+02	1.0120e+03	8.0400e+03	3.4230e+03	1.5537e+01
7.3100e+02	1.7040e+03	2.0600e+03	4.6560e+03	3.4160e+03	1.6130e+01
7.3200e+02	2.0680e+03	2.6790e+03	6.4990e+03	3.4230e+03	1.5768e+01
7.3300e+02	2.3640e+03	3.1500e+02	6.7740e+03	3.4060e+03	1.5723e+01
7.3400e+02	6.2800e+02	2.5580e+03	1.4654e+04	3.4230e+03	1.4885e+01
7.3500e+02	2.0250e+03	3.0300e+03	6.6750e+03	3.4270e+03	1.5739e+01
7.3600e+02	2.1630e+03	4.1240e+03	4.0150e+03	3.4120e+03	1.6291e+01
7.3700e+02	1.7700e+03	4.1960e+03	5.7160e+03	3.4180e+03	1.5907e+01
7.3800e+02	2.4100e+03	8.3700e+02	7.8260e+03	3.4050e+03	1.5566e+01
7.3900e+02	6.8200e+02	2.6870e+03	4.3820e+03	3.4270e+03	1.6196e+01
7.4000e+02	2.2650e+03	3.7130e+03	5.2090e+03	3.4170e+03	1.6008e+01
7.4100e+02	7.9700e+02	1.7500e+03	1.4730e+04	3.4250e+03	1.4879e+01
7.4200e+02	2.2980e+03	2.0920e+03	7.9910e+03	3.4180e+03	1.5543e+01
7.4300e+02	8.4600e+02	3.4750e+03	5.8660e+03	3.4310e+03	1.5879e+01
7.4400e+02	1.4770e+03	9.9000e+02	7.0660e+03	3.4240e+03	1.5677e+01
7.4500e+02	2.1660e+03	3.4400e+03	4.0400e+03	3.4260e+03	1.6284e+01
7.4600e+02	2.5500e+02	1.4820e+03	1.0840e+04	3.4180e+03	1.5212e+01
7.4700e+02	2.4200e+03	3.2970e+03	4.6860e+03	3.4190e+03	1.6123e+01
7.4800e+02	4.9600e+02	3.6000e+03	3.9020e+03	3.4260e+03	1.6322e+01
7.4900e+02	2.0270e+03	3.6290e+03	8.7460e+03	3.4330e+03	1.5445e+01
7.5000e+02	1.8700e+03	1.4830e+03	7.1490e+03	3.4190e+03	1.5664e+01
7.5100e+02	3.3600e+02	2.2590e+03	9.9340e+03	3.4170e+03	1.5307e+01
7.5200e+02	1.7840e+03	4.2960e+03	8.0780e+03	3.4160e+03	1.5532e+01
7.5300e+02	1.4600e+03	4.4600e+03	2.9855e+03	3.4255e+03	1.6612e+01
7.5400e+02	1.1460e+03	1.5170e+03	1.0866e+04	3.4170e+03	1.5210e+01
7.5500e+02	9.1700e+02	1.6280e+03	4.6980e+03	3.4220e+03	1.6120e+01
7.5600e+02	2.3100e+02	2.3440e+03	9.1290e+03	3.4170e+03	1.5399e+01
7.5700e+02	9.3400e+02	2.9160e+03	9.1100e+03	3.4350e+03	1.5401e+01
7.5800e+02	4.5300e+02	3.2870e+03	8.6570e+03	3.4190e+03	1.5457e+01
7.5900e+02	1.8460e+03	3.4860e+03	5.0480e+03	3.4300e+03	1.6042e+01
7.6000e+02	1.0210e+03	4.4780e+03	6.1540e+03	3.4220e+03	1.5827e+01
7.6100e+02	1.3910e+03	3.8400e+02	9.1880e+03	3.4300e+03	1.5392e+01
